epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.9168,0.82927,0.895,1,0.26262,0.00040625,0.00040625,0.00040625
2,22.1313,0.21921,0.96,1,0.11715,0.000782182,0.000782182,0.000782182
3,30.2262,0.32345,0.955,1,0.17567,0.00111686,0.00111686,0.00111686
4,38.0405,0.23468,0.9425,1,0.20362,0.00106437,0.00106437,0.00106437
5,46.0194,0.28067,0.95,1,0.1564,0.0010025,0.0010025,0.0010025
6,53.9164,0.19599,0.9425,1,0.16364,0.000940625,0.000940625,0.000940625
7,61.6239,0.16361,0.9775,1,0.15578,0.00087875,0.00087875,0.00087875
8,69.5617,0.13981,0.9825,1,0.04775,0.000816875,0.000816875,0.000816875
9,77.4808,0.15888,0.9875,1,0.03658,0.000755,0.000755,0.000755
10,85.0051,0.12611,0.9825,1,0.05668,0.000693125,0.000693125,0.000693125
11,111.937,0.10407,0.9725,1,0.11344,0.00063125,0.00063125,0.00063125
12,119.249,0.11569,0.98,1,0.0782,0.000569375,0.000569375,0.000569375
13,126.603,0.09321,0.98,1,0.06497,0.0005075,0.0005075,0.0005075
14,134.05,0.0827,0.9825,1,0.03979,0.000445625,0.000445625,0.000445625
15,141.715,0.06651,0.99,1,0.04009,0.00038375,0.00038375,0.00038375
16,149.09,0.06107,0.9825,1,0.05242,0.000321875,0.000321875,0.000321875
17,156.539,0.05328,0.9875,1,0.03196,0.00026,0.00026,0.00026
18,164.318,0.08215,0.9875,1,0.04036,0.000198125,0.000198125,0.000198125
19,171.658,0.06466,0.9825,1,0.03724,0.00013625,0.00013625,0.00013625
20,179.395,0.05606,0.9875,1,0.03129,7.4375e-05,7.4375e-05,7.4375e-05
